,col1,TBh1,TBh2,TBh3,TBh4,TBv1,TBv2,TBv3,TBv4,latDeg,lngDeg,lmebRet
0,3332.9440891203703,234.5564651040891,233.9087644163431,236.6173004435807,235.50282711311326,267.16779927849365,267.14075249765466,278.1580933758406,278.347809967464,-37.91042755,145.13582843,0.11526191883413855
1,3332.9441990740597,238.5798699110447,237.78846143525925,241.39864548550602,238.7175792930703,268.76012729557067,267.0313936897445,279.33117571124865,277.49073936770793,-37.91037556,145.13582566,0.10539706230349216
2,3332.944309027749,237.29837371049553,237.4300757550922,238.99190768191895,238.81180954616678,267.50815980698854,267.26963712316643,278.3232832439994,278.3826890956049,-37.91039199,145.13582533,0.10833158512861488
3,3332.944418981555,238.79184480309294,234.68655359605094,239.38000934723783,235.9091652636817,267.69530675033064,267.3530929666656,278.4247944202462,277.91666323724723,-37.91038831003015,145.13582154,0.1104041900517528
4,3332.944527777843,241.12704395360808,242.2719273421588,242.5515178721572,244.1438745116197,270.63423860425615,271.99164059764394,281.2458054863077,282.56579037399564,-37.91037914992964,145.13581422998996,0.08779500327227828
5,3332.9446365741314,240.88469525829453,240.6359468394237,243.5390317317772,243.66092351130936,269.4288611877221,270.52995110820416,279.6470474062912,280.65193329117307,-37.91034872,145.1358086,0.09328665309429922
6,3332.944746527821,241.82105169778728,242.3660933431458,243.29317350558642,243.32973000212394,272.2819780339388,269.38480995289535,281.42179764041066,279.0134693514563,-37.9103627,145.1357961,0.09081776233120689
7,3332.94485648151,232.61851756577224,233.81711487436314,235.18993977031215,236.1509291056552,258.8908550604274,260.5365317330402,269.91620962562024,271.4487654504625,-37.91041746,145.13578066,0.13897300624418646
8,3332.9449664351996,242.35577876746498,243.08573922996962,,,266.86162551943704,266.8314376739187,,,-37.91045572,145.13576652,0.11643386387604789
9,3332.945076388889,243.0761225512175,242.30067468434032,245.45597365991725,244.55499855184598,269.2646966310686,269.3099650058236,278.9071070783117,278.72835950432545,-37.91044493,145.1357473,0.09305884250957291
10,3332.9451863425784,242.13483538113377,243.7013692775218,246.01437756638353,,268.7240341352201,268.9529486572187,278.21010089620694,,-37.91041815,145.13572152,0.09910029780745572
11,3332.9452962962678,241.3384280183138,239.9592454145679,244.71481958023864,243.4383728212078,268.8862770742122,269.3517421613934,276.93929038226787,279.17984291357135,-37.91044301,145.13570403,0.09742285616054515
