n_recs,evals_Linear Regression_rmse,evals_Linear Regression_mae,evals_Linear Regression_r2,evals_Decision Tree_rmse,evals_Decision Tree_mae,evals_Decision Tree_r2,evals_Random Forest_rmse,evals_Random Forest_mae,evals_Random Forest_r2,evals_Gradient Boosted Tree_rmse,evals_Gradient Boosted Tree_mae,evals_Gradient Boosted Tree_r2
940,0.0373,0.0289,0.4408,0.019,0.0089,0.8544,0.021,0.0142,0.8226,0.0168,0.007,0.8862
950,0.0373,0.0289,0.44,0.0191,0.0088,0.8537,0.0214,0.0142,0.8161,0.017,0.0068,0.8845
960,0.0373,0.0289,0.441,0.0189,0.0086,0.8571,0.0215,0.0134,0.8145,0.0172,0.0068,0.8808
970,0.0373,0.0289,0.4387,0.0196,0.0091,0.8448,0.0217,0.0139,0.8111,0.0165,0.007,0.8904
980,0.0374,0.0288,0.4387,0.0203,0.0092,0.8349,0.0217,0.0144,0.811,0.0176,0.007,0.8754
990,0.0373,0.0288,0.438,0.0204,0.0094,0.8326,0.021,0.0143,0.8225,0.0179,0.0072,0.8712
1000,0.0373,0.0288,0.4384,0.019,0.0088,0.854,0.0211,0.0139,0.8197,0.0168,0.007,0.8863
1010,0.0373,0.0287,0.4376,0.019,0.0088,0.8535,0.0215,0.0146,0.8141,0.0172,0.0069,0.8798
1020,0.0371,0.0289,0.4434,0.0169,0.008,0.8839,0.0199,0.0125,0.8402,0.0152,0.0064,0.906
1030,0.0371,0.0289,0.442,0.017,0.008,0.8825,0.0206,0.0141,0.8275,0.0151,0.0064,0.9078
1040,0.0372,0.0289,0.4416,0.0191,0.0086,0.8523,0.0215,0.0147,0.8134,0.0172,0.0069,0.8812
1050,0.0372,0.0289,0.4407,0.0191,0.0086,0.8532,0.0216,0.0135,0.8117,0.017,0.0067,0.8838
1060,0.0372,0.0289,0.4397,0.0194,0.0087,0.8478,0.0221,0.0151,0.8025,0.0172,0.0068,0.88
1070,0.0373,0.0289,0.4383,0.0189,0.0086,0.8561,0.0219,0.0153,0.8068,0.0167,0.0066,0.8879
1080,0.0373,0.0289,0.4408,0.0196,0.0089,0.8453,0.0213,0.0141,0.8167,0.0164,0.0066,0.8913
1090,0.0373,0.0288,0.4408,0.017,0.008,0.8837,0.0216,0.0145,0.8129,0.0144,0.0059,0.9168
1100,0.0373,0.029,0.4412,0.0181,0.0083,0.8686,0.0214,0.0144,0.816,0.0153,0.0062,0.9056
1110,0.0373,0.029,0.4411,0.0179,0.0082,0.8717,0.0219,0.015,0.8085,0.0151,0.0062,0.909
