Datetime|TBH_40|TBV_40|TBH_45|TBV_45|TBH_50|TBV_50|TBH_55|TBV_55|TBH_60|TBV_60|TBH_65|TBV_65|TBH_70|TBV_70|Avg_SM_LC|Avg_STS_LC|Avg_STD_LC|LAI_hants
8/7/2016 16:30|244.63074|262.62918|241.13583|264.69208|234.34091|264.57922|224.11856|262.23993|213.8587|259.42603|200.86026|253.45876|183.46365|241.1919|0.19634737|296.88333|290.01874|5.98
8/7/2016 16:45|243.39937|261.07025|239.97614|263.03745|233.45183|262.9523|223.69635|261.0432|213.49483|258.0545|200.45677|252.07745|183.31917|239.9469|0.19626842|296.88333|290.05|5.98
8/7/2016 17:00|245.10538|263.1756|241.67822|265.34955|234.9562|265.15512|224.94807|263.21555|214.65395|260.35562|201.18352|254.09319|183.895|241.9934|0.19626842|296.91666|290.1|5.98
8/7/2016 17:15|244.52544|262.81226|241.19649|264.84396|234.59445|265.0688|224.98547|263.53412|214.65295|260.67383|201.73036|254.85551|184.36577|242.7261|0.19620526|296.91666|290.15625|5.98
8/7/2016 17:30|244.35622|262.01508|241.0413|264.30463|234.58775|264.39606|225.09383|262.90265|214.91817|260.03314|201.88936|254.19054|184.50223|242.0379|0.19618422|296.91666|290.2|5.98
8/7/2016 17:45|245.03546|262.8221|241.75616|264.77466|234.91283|264.6961|225.17268|262.77805|214.7085|259.59143|201.694|253.70335|184.46864|241.59782|0.19613157|296.78333|290.23126|5.98
8/7/2016 18:00|244.8221|262.3056|241.42677|264.46786|234.70677|264.3263|225.08514|262.57214|215.07458|259.64078|202.11272|253.64561|184.69446|241.56189|0.19600527|296.58334|290.2875|5.98
8/7/2016 18:15|244.88185|262.36945|241.63026|264.44214|234.66013|264.02267|225.03131|262.22882|214.66841|259.14178|201.92407|253.33871|184.69287|241.32475|0.19599473|296.38333|290.325|5.98
8/7/2016 18:30|244.68259|262.03107|241.44112|263.91122|234.63278|263.58655|225.03033|261.70868|214.72188|258.63605|201.78996|252.52849|184.41376|240.34534|0.19593158|296.18332|290.35626|5.97
8/7/2016 18:45|244.50162|261.41293|241.22072|263.3009|234.8243|263.21713|225.13763|261.09158|214.9458|258.12|202.16481|252.23357|184.82892|240.04335|0.19591579|296.05|290.3875|5.97
8/7/2016 19:00|244.48524|261.3571|241.31425|263.28592|234.81621|263.08197|225.36653|261.17712|215.07762|258.1756|202.11777|252.11728|184.90393|240.00569|0.19587368|295.71667|290.4125|5.97
