Tbvcol,Tbhcol,stemp,dtemp,lai,true_sm,ret_sm
245.0011,256.17084,286.51666,289.575,5.96,0.19452631,0.115893310724137
244.8833,255.98265,286.31668,289.53125,5.96,0.19450526,0.115893080567846
244.93669,255.78627,286.18335,289.50626,5.95,0.19450526,0.115706401574765
244.94386,255.86368,285.98334,289.4625,5.95,0.19446842,0.114943344375322
245.04607,255.81494,285.88333,289.425,5.95,0.19445263,0.114464569146028
245.04146,255.7527,285.71667,289.39374,5.95,0.19436842,0.114083456174102
245.00021,255.55756,285.61667,289.35,5.95,0.19428948,0.114196515746313
244.97157,255.32562,285.51666,289.31876,5.95,0.19433685,0.114356562897621
244.86818,255.15999,285.35,289.28125,5.95,0.19427368,0.11438562952753
244.68376,254.93436,285.31668,289.25,5.95,0.19423684,0.115094415952245
244.75621,254.83414,285.31668,289.2,5.95,0.19420527,0.115046790824909
244.53441,254.62703,285.18332,289.16876,5.95,0.19416316,0.115531446998741
244.46066,254.46204,285.48334,289.1375,5.95,0.1941421,0.116818268812507
244.76736,254.87828,285.48334,289.11874,5.95,0.19408947,0.115331868774099
245.19107,255.35936,285.38333,289.0625,5.95,0.19408421,0.113139396208378
245.47253,256.35126,285.68335,289.04376,5.95,0.19397369,0.111567434589054
246.06505,257.21292,285.68332,289.00626,5.95,0.19393158,0.108638727728762
246.3728,257.53378,285.85,288.98126,5.95,0.19386841,0.107790617054636
246.70801,257.91425,286.18335,288.9625,5.95,0.19397369,0.107237963050515
247.06757,258.24557,286.44998,288.93124,5.95,0.19391578,0.106512612268713
247.28215,258.36642,286.85,288.925,5.95,0.19385263,0.106883623880134
247.4235,258.75723,287.38333,288.88126,5.95,0.19384737,0.107303119152308
247.53204,259.03687,288.05,288.875,5.95,0.19384737,0.108408847476901
247.6697,259.4169,288.88333,288.8875,5.94,0.19384737,0.109777683043269
247.58423,259.8676,289.55002,288.86874,5.94,0.19386841,0.111082632429829
247.43646,260.29175,289.88333,288.875,5.94,0.19398421,0.111667787569401
247.32077,260.7985,291.01666,288.88126,5.94,0.19396842,0.114356205398464
247.04553,260.9476,291.65,288.89374,5.94,0.19398947,0.116655540199212
247.12921,261.60764,291.45,288.91876,5.94,0.194,0.114706082322639
246.92894,261.94144,291.81668,288.925,5.94,0.19391578,0.115695102738127
246.9238,262.64218,293.35,288.95,5.94,0.19397368,0.119056409226941
246.78706,262.73175,294.71667,288.9875,5.94,0.19399473,0.123463265525299
246.9077,263.3487,295.51666,289.03125,5.94,0.19393158,0.124547306292263
247.2282,264.02075,296.31665,289.075,5.94,0.19387369,0.125027873233698
247.1011,264.2724,296.85,289.1375,5.94,0.19373158,0.126628698582689
247.16553,264.3788,297.25,289.175,5.94,0.19369474,0.127572725801603
247.27634,264.89493,297.95,289.2375,5.94,0.19361052,0.128610394058998
247.47766,265.32193,298.08334,289.29376,5.94,0.19348948,0.127760661687473
247.72047,265.5352,298.48334,289.35,5.94,0.19338422,0.128065441351671
247.72548,265.59433,298.35,289.41876,5.94,0.19326842,0.127579866088648
248.57974,266.6142,298.68332,289.4875,5.94,0.1931579,0.124573971315799
248.60037,266.726,298.81668,289.5625,5.94,0.19307895,0.124808892713209
248.81024,266.8135,298.88333,289.625,5.94,0.1929421,0.124374816219768
249.62646,267.31433,298.71667,289.6875,5.93,0.19281052,0.120867196968172
249.08424,267.77002,298.68335,289.7625,5.93,0.19276842,0.121400137059958
249.47063,267.43365,298.71667,289.8375,5.93,0.19261579,0.121204094950817
249.45909,267.25528,298.65,289.90625,5.93,0.19256842,0.121425750880564
249.97784,267.64545,298.5833,289.96875,5.93,0.19246316,0.119226381997887
250.08054,267.60388,298.55,290.03125,5.93,0.19242105,0.118999545911656
249.74234,266.9918,298.48334,290.09375,5.93,0.1923579,0.120854179260095
249.99266,267.10403,298.38333,290.1625,5.93,0.19229473,0.119762949726501
249.69063,266.84128,298.18332,290.21875,5.93,0.19231579,0.120461806609151
250.37015,267.2341,298.11667,290.25626,5.93,0.19227368,0.117830048370383
250.38728,267.0124,297.81668,290.3125,5.93,0.19225264,0.117330104422931
250.18265,266.6406,297.58334,290.36874,5.93,0.19227369,0.117875731135029
250.2536,266.64795,297.35,290.4125,5.93,0.19223158,0.117017102188152
249.99112,266.2466,297.11667,290.45624,5.93,0.19225264,0.117749448188174
249.73685,265.79337,296.75,290.48126,5.93,0.19212632,0.118128522451567
249.4268,265.23688,296.48334,290.5125,5.93,0.1921421,0.119147102377127
249.47313,265.10895,296.15,290.5375,5.93,0.1920421,0.11827319809143
249.41026,264.83316,295.85,290.55,5.93,0.19185789,0.118035116756103
249.31198,264.53784,295.51666,290.575,5.93,0.19194737,0.117835130174762
249.16512,264.25824,295.01666,290.5875,5.93,0.19197369,0.117216350344914
249.33147,264.0042,294.55,290.5875,5.93,0.1919158,0.115859062443096
249.30399,263.7791,294.18335,290.59375,5.92,0.1919158,0.115247554488487
249.21556,263.5396,293.75,290.5875,5.92,0.19187368,0.114604299567248
248.84906,262.67654,293.38333,290.58124,5.92,0.19185263,0.115962448227332
248.8186,262.47098,293.01666,290.575,5.92,0.19178948,0.11531452709413
248.67844,262.07968,292.68332,290.5625,5.92,0.19170526,0.115362818536707
248.60913,261.82007,292.41666,290.54376,5.92,0.1916421,0.115192099556387
248.73384,261.8538,292.11667,290.525,5.92,0.1916579,0.11392720430412
248.6047,261.582,291.75,290.50626,5.92,0.19161579,0.113637924683427
248.81342,261.76514,291.51666,290.46875,5.92,0.19158947,0.112089453705628
248.81026,261.509,291.28333,290.45624,5.92,0.19158421,0.111859707200337
248.64195,261.15952,290.95,290.43124,5.92,0.19153684,0.111898333610621
248.59407,261.11902,290.75,290.39374,5.92,0.19147368,0.111473659894161
248.98058,261.22778,290.61667,290.375,5.92,0.19143684,0.109939971050434
249.11136,261.24948,290.41666,290.35,5.92,0.19141579,0.108989828576527
249.30394,261.41272,290.11667,290.3,5.92,0.19139999,0.107343448612063
249.53674,261.4417,289.88333,290.26874,5.92,0.19134736,0.106043054501026
249.56496,261.4852,289.78333,290.23126,5.92,0.19132632,0.105582539299224
249.30768,260.9804,289.58334,290.1875,5.92,0.19134736,0.106461487157109
249.04532,260.75745,289.35,290.1625,5.92,0.19126315,0.106802046604059
249.1949,261.00427,289.11667,290.13126,5.92,0.19117895,0.105342255882447
248.95609,260.66077,288.85,290.1,5.92,0.19117895,0.10573082408777
248.8674,260.56677,288.71667,290.06876,5.91,0.19112106,0.105702734412135
248.80434,260.29636,288.61667,290.03125,5.91,0.19106317,0.105995764702558
248.62665,260.1633,288.41666,290,5.91,0.19106317,0.106066824830788
248.59093,260.0031,288.25,289.95624,5.91,0.19102105,0.105917959087647
248.9374,260.23175,288.01666,289.925,5.91,0.19095789,0.104027520571548
248.79259,260.06723,287.88333,289.8875,5.91,0.19095789,0.104247529161859
248.80197,260.039,287.65,289.86874,5.91,0.19095263,0.103618342343591
248.79417,260.03873,287.48334,289.81876,5.91,0.19091053,0.10313234663264
248.80678,259.86154,287.35,289.78125,5.91,0.19088948,0.102996298627788
248.69882,259.7287,287.15,289.75626,5.91,0.19086842,0.102909518290788
248.63524,259.7307,287.01666,289.73126,5.91,0.19086842,0.102672380461091
248.5427,259.4514,286.85,289.69376,5.91,0.19083157,0.102868501878348
248.60846,259.37994,286.68335,289.65,5.91,0.19081053,0.102335347934522
248.51512,259.1728,286.51666,289.6125,5.91,0.19074737,0.102414117709
248.58232,259.16547,286.38333,289.56876,5.91,0.19072631,0.10186194021629
248.52737,259.01794,286.21667,289.5375,5.91,0.19070527,0.101758188998404
248.34776,258.59064,286.15,289.5,5.91,0.19068421,0.102674934660538
248.55606,258.60764,286.01666,289.475,5.91,0.19064736,0.101766912864885
248.28954,258.14932,285.91666,289.425,5.91,0.19061053,0.102840868209181
248.42029,258.27597,285.78333,289.3875,5.91,0.19053684,0.101921958317495
248.22214,257.93823,285.61667,289.3625,5.91,0.19051579,0.102482280340091
248.24988,258.06747,285.65,289.31876,5.9,0.19047368,0.102242847648441
248.48424,258.07355,285.65,289.28125,5.9,0.19042632,0.101633176286147
248.47781,257.92325,285.75,289.23126,5.9,0.19036841,0.102109455754731
248.5949,257.93478,285.78333,289.2125,5.9,0.19032632,0.10187874533031
248.99954,258.4938,285.78333,289.1875,5.9,0.19032632,0.0999593784375985
249.19385,259.34497,285.95,289.1625,5.9,0.19046316,0.0985118094464071
249.52847,259.98074,286.05,289.125,5.9,0.19042632,0.0968998523042356
249.92358,260.42148,286.21667,289.09375,5.9,0.19036315,0.0956432701944484
250.3556,260.8379,286.48334,289.06876,5.9,0.1903421,0.094602866749424
250.51234,261.13388,286.81668,289.04376,5.9,0.19032106,0.0945862166836333
250.95096,261.36917,287.35,289.025,5.9,0.1903,0.0945135895500583
250.99252,261.5663,287.98334,289.0125,5.9,0.19040526,0.0957395091456915
251.11937,261.99664,288.48334,289,5.9,0.19044736,0.0960374188327853
251.43607,262.4871,289.48334,288.99374,5.9,0.19040526,0.0971189612942718
251.0817,262.41745,290.31668,288.9875,5.9,0.19046842,0.100367120983753
250.85577,262.77567,290.85,288.9875,5.9,0.19049473,0.101798097481763
250.79164,263.30698,291.68335,289,5.9,0.19051579,0.103397932710142
250.53989,263.6374,292.31668,289.01874,5.9,0.19050527,0.105273257331764
250.52925,264.20435,293.01666,289.0375,5.9,0.19051579,0.106343972999126
250.40749,264.2372,293.51666,289.05,5.9,0.19051579,0.10804959013813
250.43747,265.04172,294.01666,289.08124,5.89,0.19055264,0.108057648646662
250.26802,265.39392,294.58334,289.11874,5.89,0.1905579,0.109565723434791
250.4322,265.9041,294.65,289.15625,5.89,0.19053684,0.108494187018432
250.59145,266.45425,296.08334,289.2,5.89,0.1905579,0.111391323188693
250.25874,266.66196,297.05,289.2375,5.89,0.1905579,0.11481994306323
250.3563,266.8309,296.51666,289.2875,5.89,0.19051579,0.112712121410395
250.69394,267.48596,297.18332,289.34375,5.89,0.19053684,0.11273866010539
250.73828,267.80316,297.18332,289.40625,5.89,0.19047369,0.112127935377751
250.91707,268.10773,297.85,289.46875,5.89,0.19043684,0.113196346161722
251.19983,268.3566,298.21664,289.525,5.89,0.19038947,0.113188558208231
251.39561,268.836,298.31668,289.59375,5.89,0.19033158,0.112202445107528
251.4627,268.87244,297.78333,289.6625,5.89,0.19038421,0.110444363995732
251.92624,269.37445,297.01666,289.725,5.89,0.19022106,0.106199093557654
252.07297,269.53076,297.38333,289.8,5.89,0.1902,0.106704766499534
253.09895,269.8506,297.78333,290.05,5.89,0.19028947,0.104966132420733
253.02208,269.75183,297.5833,290.1125,5.89,0.19026843,0.104824796816063
253.26485,269.9827,297.75,290.15625,5.89,0.19026843,0.104337469237274
252.70677,269.3312,297.71667,290.21875,5.89,0.19016315,0.106866554473209
252.94556,268.71976,297.48334,290.275,5.88,0.19005789,0.106695766981953
253.44112,269.3734,297.38333,290.325,5.88,0.18994737,0.104063387925638
252.88942,268.8797,297.38333,290.38126,5.88,0.18994737,0.106390940975245
252.87929,268.6251,297.25,290.40625,5.88,0.18997894,0.106497714293445
252.64418,268.4826,297.01666,290.4625,5.88,0.18983684,0.106730196388157
252.6812,268.20923,296.81668,290.49374,5.88,0.18972631,0.106564385339801
252.5023,267.74948,296.55,290.525,5.88,0.18982631,0.107076786916706
252.34225,267.49445,296.28333,290.5375,5.88,0.18988948,0.10716564378087
252.2749,267.30548,296.05,290.58124,5.88,0.18988948,0.107036391114488
252.19287,266.97397,295.78333,290.6,5.88,0.18974736,0.107067036414136
252.0838,266.55145,295.08334,290.60626,5.88,0.18972105,0.106063367472446
251.89395,266.3706,294.35,290.61874,5.88,0.18954737,0.104774174317469
251.78896,266.19223,293.88333,290.625,5.88,0.18954737,0.104028735511942
251.51526,265.86298,293.61667,290.625,5.88,0.18950526,0.104516390402247
250.7944,264.89148,293.31665,290.6125,5.88,0.18946315,0.107096881138495
250.59332,264.41882,293.08334,290.6125,5.88,0.18942106,0.107743104332536
250.48532,264.07593,292.85,290.59375,5.88,0.18937369,0.107914933754047
250.48001,263.89804,292.65,290.5875,5.88,0.18933158,0.107658013275592
250.52785,263.8447,292.35,290.56876,5.88,0.18933158,0.106760903448741
250.61948,263.5453,292.08334,290.54376,5.88,0.1892842,0.106266609935587
250.70523,263.5845,291.78333,290.525,5.88,0.18922105,0.105126539809193
250.59483,263.32852,291.55,290.49374,5.87,0.18919474,0.105145424716156
250.60228,263.30344,291.31665,290.475,5.87,0.18917368,0.104498918339161
250.62914,263.29083,291.11667,290.4625,5.87,0.18913157,0.103886020230839
250.60042,262.91995,291.05,290.425,5.87,0.18904737,0.104355027474095
250.81752,262.8595,290.88333,290.39374,5.87,0.18903157,0.103428726099362
250.85818,262.91632,290.71667,290.36874,5.87,0.18898948,0.102746595483163
251.25468,263.4387,290.48334,290.34375,5.87,0.18898948,0.100243280470766
251.491,263.47937,290.38333,290.325,5.87,0.18892631,0.0993078723948529
251.53503,263.35995,290.11667,290.26874,5.87,0.18888421,0.0986148038143009
251.16139,263.1088,289.85,290.24374,5.87,0.18883158,0.0991912934545669
250.98186,262.89035,289.68335,290.2125,5.87,0.18881053,0.0995029591577908
250.77945,262.4841,289.71667,290.19376,5.87,0.18878421,0.100733765530703
250.42056,261.99014,289.58334,290.15625,5.87,0.18872105,0.102022643834035
250.3011,262.03152,289.48334,290.11874,5.87,0.18872105,0.10192997298502
250.60358,262.49792,289.35,290.1125,5.87,0.18865263,0.10005664564499
250.89767,262.70215,289.28333,290.08124,5.87,0.18861052,0.0987948156833666
250.91402,262.63266,289.25,290.05624,5.87,0.18862632,0.0987515844524857
250.71887,262.31003,289.15,290.03125,5.87,0.18861052,0.0994577427033791
250.81606,262.52792,288.91666,289.99374,5.87,0.18853684,0.0981999086084164
251.11043,262.74008,288.68335,289.96875,5.87,0.18847369,0.0964985980660715
251.00986,262.68372,288.45,289.9375,5.87,0.18845263,0.0961826310805177
250.66518,262.18805,288.38333,289.91876,5.86,0.18845263,0.0976178650657513
250.40294,261.77704,288.31665,289.8875,5.86,0.18843158,0.0987071619570561
250.23726,261.39594,288.28333,289.86874,5.86,0.18838947,0.0996211470691513
250.15146,261.16785,288.01666,289.83124,5.86,0.18834737,0.0994487858991786
250.40097,261.52628,287.71667,289.8,5.86,0.18833157,0.0974345204487964
250.67511,261.77777,287.75,289.76874,5.86,0.18831052,0.0964213921949095
250.61699,261.73026,287.85,289.75,5.86,0.18831052,0.0968788700118955
250.23944,261.19495,287.81668,289.71875,5.86,0.18831052,0.098534362074253
250.38248,261.3606,287.68335,289.675,5.86,0.18833157,0.0975184460674755
250.85521,261.98456,287.68332,289.65625,5.86,0.18827368,0.0953526981935263
251.23529,262.11282,287.65,289.6375,5.86,0.18825263,0.0941258540035371
256.23907,264.5883,287.61667,289.6125,5.86,0.18823157,0.0781021760695615
257.5679,265.0561,287.55,289.58124,5.86,0.18825263,0.0739766658121619
257.5105,264.99228,287.51666,289.5625,5.86,0.18819474,0.0741069944422468
257.2852,264.7072,287.41666,289.525,5.86,0.18817368,0.0747901383935513
257.16666,264.7235,287.38333,289.50626,5.86,0.18815263,0.0749520493815778
257.0434,264.65247,287.35,289.4875,5.86,0.18815263,0.0752535164735163
257.05322,264.5365,287.38333,289.4625,5.86,0.18815263,0.0754452816333655
257.09216,264.60757,287.41666,289.4375,5.86,0.18813685,0.07529060335256
257.01556,264.48444,287.51666,289.4125,5.86,0.18809474,0.0758619226289068
257.2004,264.7682,287.68332,289.39374,5.85,0.18807368,0.0753590092782228
257.4316,264.91916,287.88333,289.375,5.85,0.18805262,0.0750160461781933
257.6092,265.22336,288.18335,289.3625,5.85,0.18805262,0.0748222642281827
257.77606,265.35315,288.61667,289.34375,5.85,0.1880579,0.0752207322364703
257.65036,265.27863,289.21667,289.3375,5.85,0.1881,0.0770773991421207
257.57852,265.50278,290.05,289.31876,5.85,0.18810526,0.0789301632098491
257.32672,265.52957,290.95,289.31876,5.85,0.18816842,0.0817722311227247
257.06125,265.9547,291.61667,289.31876,5.85,0.1881421,0.0834794435769886
256.71533,266.25757,292.18332,289.325,5.85,0.18821053,0.0853529342424296
256.1618,266.42105,292.01666,289.31876,5.85,0.18819474,0.0860614968613994
255.68713,266.6709,292.81668,289.33124,5.85,0.18823685,0.0889823616393511
255.21867,267.25262,293.68332,289.35626,5.85,0.18832105,0.0915827488846512
254.62581,267.4264,294.31665,289.375,5.85,0.18811579,0.0945569267876707
254.39651,267.54007,294.71664,289.4,5.85,0.18813685,0.0960875900192824
253.09935,266.82776,296.58334,289.4375,5.85,0.18822631,0.106009996074413
252.28409,266.2251,296.25,289.4625,5.85,0.18824737,0.108227493513081
251.79488,266.27676,295.91666,289.50626,5.85,0.18822631,0.108463698545574
253.05215,268.46863,295.58334,289.54376,5.85,0.18817368,0.100560878551712
252.78711,269.0152,296.51666,289.59375,5.85,0.18823685,0.103023536556937
251.85054,268.35284,297.18332,289.6375,5.85,0.18823685,0.108555393914557
252.50867,269.68558,297.61667,289.69376,5.85,0.18827894,0.105880598687588
252.62215,269.4294,297.58334,289.75,5.84,0.18823685,0.105997463823848
251.05501,267.7758,297.51666,289.8,5.84,0.18819474,0.112788512396142
252.46935,269.76764,297.9167,289.85,5.84,0.18814737,0.106891747188792
251.71725,267.9652,298.61667,289.975,5.84,0.18808421,0.114251260135288
